X,Y,code,abbr,name,state_name
78.85571070383233,22.122000161809677,455,CN,Chhindwara,Madhya Pradesh
73.53404688852072,22.234206965802979,486,VD,Vadodara,Gujarat
93.003916638471281,22.38334366671398,288,SA,Saiha,Mizoram
88.068038227760312,22.522823323661243,341,HR,Haora,West Bengal
92.703200830651127,22.381037930274356,287,LA,Lawngtlai,Mizoram
72.792088675390417,22.455702722853662,482,AN,Anand,Gujarat
88.354051415508252,22.525887271741894,342,KO,Kolkata,West Bengal
77.125392943625741,22.231770081849593,448,HA,Harda,Madhya Pradesh
86.402637669320598,21.897502940311281,376,MY,Mayurbhanj,Orissa
75.767769889384155,21.911594505135543,440,WN,West Nimar,Madhya Pradesh
84.504267400926707,22.082345449149049,374,SU,Sundargarh,Orissa
81.224116817866133,22.091960357819378,407,KW,Kabirdham,Chhattisgarh
87.786528832387376,22.029759328428231,345,PR,Purba Medinipur,West Bengal
76.571114900473162,21.939725948209283,466,EN,East Nimar,Madhya Pradesh
80.360570763349031,21.879848182312106,457,BL,Balaghat,Madhya Pradesh
82.736018855323607,21.926919856028171,405,JC,Janjgir - Champa,Chhattisgarh
84.280839513780663,21.451394918241025,372,SA,Sambalpur,Orissa
85.699663776463055,21.536583374654089,375,KJ,Kendujhar,Orissa
75.01050732142798,21.794273667413616,441,BR,Barwani,Madhya Pradesh
83.959918509457083,21.807068936351889,371,JH,Jharsuguda,Orissa
74.216452062889758,21.54672586057757,497,NB,Nandurbar,Maharashtra
81.355179865911353,21.194999843323156,409,DU,Durg,Chhattisgarh
69.777649729491728,21.653722636826068,478,PO,Porbandar,Gujarat
86.912925056909714,21.503861997833219,377,BW,Baleshwar,Orissa
82.179901714283531,21.053910779944626,410,RP,Raipur,Chhattisgarh
80.820810081289011,21.038635020179587,408,RN,Rajnandgaon,Chhattisgarh
77.57447505932501,21.18736166229052,503,AM,Amravati,Maharashtra
84.780653745674798,21.465258693129673,373,DE,Debagarh,Orissa
83.366229608714463,21.22650472415328,370,BR,Bargarh,Orissa
79.08470488510963,21.176760198364779,505,NG,Nagpur,Maharashtra
70.567518013320552,21.197401445292346,479,JU,Junagadh,Gujarat
80.216578615176743,21.16209018189722,507,GO,Gondiya,Maharashtra
74.599533043890574,21.109733843737779,498,DH,Dhule,Maharashtra
76.370468219801197,21.375800967082434,467,BU,Burhanpur,Madhya Pradesh
79.759280761615443,21.116490995086448,506,BH,Bhandara,Maharashtra
73.073782076334368,21.267127886150529,492,ST,Surat,Gujarat
73.627695410821289,21.19201378915043,493,TA,Tapi,Gujarat
82.61206380695414,21.208104395964885,411,MA,Mahasamund,Chhattisgarh
75.487743192903338,20.930818010743241,499,JG,Jalgaon,Maharashtra
78.587158642116918,20.79707927432796,504,WR,Wardha,Maharashtra
76.407235166027661,20.504735923126642,500,BU,Buldana,Maharashtra
77.056054144579804,20.749034096172874,501,AK,Akola,Maharashtra
86.61482075334348,20.986803779393117,378,BH,Bhadrak,Orissa
85.526939090988719,20.826366254414179,383,DH,Dhenkanal,Orissa
83.817574058977982,20.929211830638675,392,SO,Subarnapur,Orissa
86.147306075033725,20.858859045911679,382,JP,Jajapur,Orissa
82.598352453387861,20.477239243423234,394,NU,Nuapada,Orissa
83.181259914745254,20.595454204419205,393,BL,Balangir,Orissa
73.094141440050009,20.81432816786965,490,NV,Navsari,Gujarat
84.173597436274918,20.645086629508793,391,BD,Baudh,Orissa
74.067869726045359,20.259611784253739,516,NS,Nashik,Maharashtra
80.242725603039091,19.787709594425891,508,GA,Gadchiroli,Maharashtra
86.609848389617113,20.555515930475366,379,KP,Kendrapara,Orissa
70.936609558050037,20.719809466617228,494,DI,Diu,Daman & Diu
79.442282136264694,20.116584018132329,509,CH,Chandrapur,Maharashtra
85.71757835608031,20.452238859339374,381,CU,Cuttack,Orissa
84.047179572105833,20.125132891726789,390,KN,Kandhamal,Orissa
78.161464399863988,20.081653804649182,510,YA,Yavatmal,Maharashtra
85.002213162859718,20.218376073913355,385,NY,Nayagarh,Orissa
81.123205938135115,20.134004687056976,413,KK,Uttar Bastar Kanker,Chhattisgarh
72.858989797582666,20.41293847281046,495,DA,Daman,Daman & Diu
83.108803027365838,19.86779250146537,395,KL,Kalahandi,Orissa
85.52033051517742,20.091797147788157,386,KH,Khordha,Orissa
86.340207465141688,20.219563393001241,380,JS,Jagatsinghapur,Orissa
84.673765883284219,19.61957762303922,388,GN,Ganjam,Orissa
85.723819145532701,19.876193601727241,387,PU,Puri,Orissa
81.771828865916788,19.422599436006916,414,BA,Bastar,Chhattisgarh
82.335619820315074,19.573100783712899,397,NB,Nabarangapur,Orissa
77.098329022312598,19.639746121023897,512,HI,Hingoli,Maharashtra
74.673052512135513,19.213665095628276,522,AH,Ahmadnagar,Maharashtra
83.509794405051679,19.362247275861396,396,RA,Rayagada,Orissa
81.094884777473155,19.577366776802741,415,NR,Narayanpur,Chhattisgarh
77.615797418190127,19.111789526634944,511,ND,Nanded,Maharashtra
78.976531824104541,19.252876447950069,532,AD,Adilabad,Telangana
76.691986720097503,19.267786601538621,513,PA,Parbhani,Maharashtra
75.833621676019263,18.950831639502436,523,BI,Bid,Maharashtra
80.806605662225934,18.867384207211806,417,BJ,Bijapur,Chhattisgarh
74.071939793995668,18.571286988213611,521,PU,Pune,Maharashtra
72.878489265138825,19.14307531553073,518,MU,Mumbai Suburban,Maharashtra
82.726163995625825,18.804299867356765,398,KO,Koraput,Orissa
81.377876500528828,18.454969283705598,416,DA,Dakshin Bastar Dantewada,Chhattisgarh
83.387654847533,18.4593328819617,543,VZ,Vizianagaram,Andhra Pradesh
